1
Horse(X0)
1000
Horse(y) ^ Father(x,y) => Horse(x)
Father(X212,X213)
Father(X213,X214)
Father(X214,X215)
Father(X215,X216)
Father(X216,X217)
Father(X217,X218)
Father(X218,X219)
Father(X219,X220)
Father(X220,X221)
Father(X221,X222)
Father(X222,X223)
Father(X223,X224)
Father(X224,X225)
Father(X225,X226)
Father(X226,X227)
Father(X227,X228)
Father(X228,X229)
Father(X229,X230)
Father(X230,X231)
Father(X231,X232)
Father(X232,X233)
Father(X233,X234)
Father(X234,X235)
Father(X235,X236)
Father(X236,X237)
Father(X237,X238)
Father(X238,X239)
Father(X239,X240)
Father(X240,X241)
Father(X241,X242)
Father(X242,X243)
Father(X243,X244)
Father(X244,X245)
Father(X245,X246)
Father(X246,X247)
Father(X247,X248)
Father(X248,X249)
Father(X249,X250)
Father(X250,X251)
Father(X251,X252)
Father(X252,X253)
Father(X253,X254)
Father(X254,X255)
Father(X255,X256)
Father(X256,X257)
Father(X257,X258)
Father(X258,X259)
Father(X259,X260)
Father(X260,X261)
Father(X261,X262)
Father(X262,X263)
Father(X263,X264)
Father(X264,X265)
Father(X265,X266)
Father(X266,X267)
Father(X267,X268)
Father(X268,X269)
Father(X269,X270)
Father(X270,X271)
Father(X271,X272)
Father(X272,X273)
Father(X273,X274)
Father(X274,X275)
Father(X275,X276)
Father(X276,X277)
Father(X277,X278)
Father(X278,X279)
Father(X279,X280)
Father(X280,X281)
Father(X281,X282)
Father(X282,X283)
Father(X283,X284)
Father(X284,X285)
Father(X285,X286)
Father(X286,X287)
Father(X287,X288)
Father(X288,X289)
Father(X289,X290)
Father(X290,X291)
Father(X291,X292)
Father(X292,X293)
Father(X293,X294)
Father(X294,X295)
Father(X295,X296)
Father(X296,X297)
Father(X297,X298)
Father(X298,X299)
Father(X299,X300)
Father(X300,X301)
Father(X301,X302)
Father(X302,X303)
Father(X303,X304)
Father(X304,X305)
Father(X305,X306)
Father(X306,X307)
Father(X307,X308)
Father(X308,X309)
Father(X309,X310)
Father(X310,X311)
Father(X311,X312)
Father(X312,X313)
Father(X313,X314)
Father(X314,X315)
Father(X315,X316)
Father(X316,X317)
Father(X317,X318)
Father(X318,X319)
Father(X319,X320)
Father(X320,X321)
Father(X321,X322)
Father(X322,X323)
Father(X323,X324)
Father(X324,X325)
Father(X325,X326)
Father(X326,X327)
Father(X327,X328)
Father(X328,X329)
Father(X329,X330)
Father(X330,X331)
Father(X331,X332)
Father(X332,X333)
Father(X333,X334)
Father(X334,X335)
Father(X335,X336)
Father(X336,X337)
Father(X337,X338)
Father(X338,X339)
Father(X339,X340)
Father(X340,X341)
Father(X341,X342)
Father(X342,X343)
Father(X343,X344)
Father(X344,X345)
Father(X345,X346)
Father(X346,X347)
Father(X347,X348)
Father(X348,X349)
Father(X349,X350)
Father(X350,X351)
Father(X351,X352)
Father(X352,X353)
Father(X353,X354)
Father(X354,X355)
Father(X355,X356)
Father(X356,X357)
Father(X357,X358)
Father(X358,X359)
Father(X359,X360)
Father(X360,X361)
Father(X361,X362)
Father(X362,X363)
Father(X363,X364)
Father(X364,X365)
Father(X365,X366)
Father(X366,X367)
Father(X367,X368)
Father(X368,X369)
Father(X369,X370)
Father(X370,X371)
Father(X371,X372)
Father(X372,X373)
Father(X373,X374)
Father(X374,X375)
Father(X375,X376)
Father(X376,X377)
Father(X377,X378)
Father(X378,X379)
Father(X379,X380)
Father(X380,X381)
Father(X381,X382)
Father(X382,X383)
Father(X383,X384)
Father(X384,X385)
Father(X385,X386)
Father(X386,X387)
Father(X387,X388)
Father(X388,X389)
Father(X389,X390)
Father(X390,X391)
Father(X391,X392)
Father(X392,X393)
Father(X393,X394)
Father(X394,X395)
Father(X395,X396)
Father(X396,X397)
Father(X397,X398)
Father(X398,X399)
Father(X399,X400)
Father(X400,X401)
Father(X401,X402)
Father(X402,X403)
Father(X403,X404)
Father(X404,X405)
Father(X405,X406)
Father(X406,X407)
Father(X407,X408)
Father(X408,X409)
Father(X409,X410)
Father(X410,X411)
Father(X411,X412)
Father(X412,X413)
Father(X413,X414)
Father(X414,X415)
Father(X415,X416)
Father(X416,X417)
Father(X417,X418)
Father(X418,X419)
Father(X419,X420)
Father(X420,X421)
Father(X421,X422)
Father(X422,X423)
Father(X423,X424)
Father(X424,X425)
Father(X425,X426)
Father(X426,X427)
Father(X427,X428)
Father(X428,X429)
Father(X429,X430)
Father(X430,X431)
Father(X431,X432)
Father(X432,X433)
Father(X433,X434)
Father(X434,X435)
Father(X435,X436)
Father(X436,X437)
Father(X437,X438)
Father(X438,X439)
Father(X439,X440)
Father(X440,X441)
Father(X441,X442)
Father(X442,X443)
Father(X443,X444)
Father(X444,X445)
Father(X445,X446)
Father(X446,X447)
Father(X447,X448)
Father(X448,X449)
Father(X449,X450)
Father(X450,X451)
Father(X451,X452)
Father(X452,X453)
Father(X453,X454)
Father(X454,X455)
Father(X455,X456)
Father(X456,X457)
Father(X457,X458)
Father(X458,X459)
Father(X459,X460)
Father(X460,X461)
Father(X461,X462)
Father(X462,X463)
Father(X463,X464)
Father(X464,X465)
Father(X465,X466)
Father(X466,X467)
Father(X467,X468)
Father(X468,X469)
Father(X469,X470)
Father(X470,X471)
Father(X471,X472)
Father(X472,X473)
Father(X473,X474)
Father(X474,X475)
Father(X475,X476)
Father(X476,X477)
Father(X477,X478)
Father(X478,X479)
Father(X479,X480)
Father(X480,X481)
Father(X481,X482)
Father(X482,X483)
Father(X483,X484)
Father(X484,X485)
Father(X485,X486)
Father(X486,X487)
Father(X487,X488)
Father(X488,X489)
Father(X489,X490)
Father(X490,X491)
Father(X491,X492)
Father(X492,X493)
Father(X493,X494)
Father(X494,X495)
Father(X495,X496)
Father(X496,X497)
Father(X497,X498)
Father(X498,X499)
Father(X499,X500)
Father(X500,X501)
Father(X501,X502)
Father(X502,X503)
Father(X503,X504)
Father(X504,X505)
Father(X505,X506)
Father(X506,X507)
Father(X507,X508)
Father(X508,X509)
Father(X509,X510)
Father(X510,X511)
Father(X511,X512)
Father(X512,X513)
Father(X513,X514)
Father(X514,X515)
Father(X515,X516)
Father(X516,X517)
Father(X517,X518)
Father(X518,X519)
Father(X519,X520)
Father(X520,X521)
Father(X521,X522)
Father(X522,X523)
Father(X523,X524)
Father(X524,X525)
Father(X525,X526)
Father(X526,X527)
Father(X527,X528)
Father(X528,X529)
Father(X529,X530)
Father(X530,X531)
Father(X531,X532)
Father(X532,X533)
Father(X533,X534)
Father(X534,X535)
Father(X535,X536)
Father(X536,X537)
Father(X537,X538)
Father(X538,X539)
Father(X539,X540)
Father(X540,X541)
Father(X541,X542)
Father(X542,X543)
Father(X543,X544)
Father(X544,X545)
Father(X545,X546)
Father(X546,X547)
Father(X547,X548)
Father(X548,X549)
Father(X549,X550)
Father(X550,X551)
Father(X551,X552)
Father(X552,X553)
Father(X553,X554)
Father(X554,X555)
Father(X555,X556)
Father(X556,X557)
Father(X557,X558)
Father(X558,X559)
Father(X559,X560)
Father(X560,X561)
Father(X561,X562)
Father(X562,X563)
Father(X563,X564)
Father(X564,X565)
Father(X565,X566)
Father(X566,X567)
Father(X567,X568)
Father(X568,X569)
Father(X569,X570)
Father(X570,X571)
Father(X571,X572)
Father(X572,X573)
Father(X573,X574)
Father(X574,X575)
Father(X575,X576)
Father(X576,X577)
Father(X577,X578)
Father(X578,X579)
Father(X579,X580)
Father(X580,X581)
Father(X581,X582)
Father(X582,X583)
Father(X583,X584)
Father(X584,X585)
Father(X585,X586)
Father(X586,X587)
Father(X587,X588)
Father(X588,X589)
Father(X589,X590)
Father(X590,X591)
Father(X591,X592)
Father(X592,X593)
Father(X593,X594)
Father(X594,X595)
Father(X595,X596)
Father(X596,X597)
Father(X597,X598)
Father(X598,X599)
Father(X599,X600)
Father(X600,X601)
Father(X601,X602)
Father(X602,X603)
Father(X603,X604)
Father(X604,X605)
Father(X605,X606)
Father(X606,X607)
Father(X607,X608)
Father(X608,X609)
Father(X609,X610)
Father(X610,X611)
Father(X611,X612)
Father(X612,X613)
Father(X613,X614)
Father(X614,X615)
Father(X615,X616)
Father(X616,X617)
Father(X617,X618)
Father(X618,X619)
Father(X619,X620)
Father(X620,X621)
Father(X621,X622)
Father(X622,X623)
Father(X623,X624)
Father(X624,X625)
Father(X625,X626)
Father(X626,X627)
Father(X627,X628)
Father(X628,X629)
Father(X629,X630)
Father(X630,X631)
Father(X631,X632)
Father(X632,X633)
Father(X633,X634)
Father(X634,X635)
Father(X635,X636)
Father(X636,X637)
Father(X637,X638)
Father(X638,X639)
Father(X639,X640)
Father(X640,X641)
Father(X641,X642)
Father(X642,X643)
Father(X643,X644)
Father(X644,X645)
Father(X645,X646)
Father(X646,X647)
Father(X647,X648)
Father(X648,X649)
Father(X649,X650)
Father(X650,X651)
Father(X651,X652)
Father(X652,X653)
Father(X653,X654)
Father(X654,X655)
Father(X655,X656)
Father(X656,X657)
Father(X657,X658)
Father(X658,X659)
Father(X659,X660)
Father(X660,X661)
Father(X661,X662)
Father(X662,X663)
Father(X663,X664)
Father(X664,X665)
Father(X665,X666)
Father(X666,X667)
Father(X667,X668)
Father(X668,X669)
Father(X669,X670)
Father(X670,X671)
Father(X671,X672)
Father(X672,X673)
Father(X673,X674)
Father(X674,X675)
Father(X675,X676)
Father(X676,X677)
Father(X677,X678)
Father(X678,X679)
Father(X679,X680)
Father(X680,X681)
Father(X681,X682)
Father(X682,X683)
Father(X683,X684)
Father(X684,X685)
Father(X685,X686)
Father(X686,X687)
Father(X687,X688)
Father(X688,X689)
Father(X689,X690)
Father(X690,X691)
Father(X691,X692)
Father(X692,X693)
Father(X693,X694)
Father(X694,X695)
Father(X695,X696)
Father(X696,X697)
Father(X697,X698)
Father(X698,X699)
Father(X699,X700)
Father(X700,X701)
Father(X701,X702)
Father(X702,X703)
Father(X703,X704)
Father(X704,X705)
Father(X705,X706)
Father(X706,X707)
Father(X707,X708)
Father(X708,X709)
Father(X709,X710)
Father(X710,X711)
Father(X711,X712)
Father(X712,X713)
Father(X713,X714)
Father(X714,X715)
Father(X715,X716)
Father(X716,X717)
Father(X717,X718)
Father(X718,X719)
Father(X719,X720)
Father(X720,X721)
Father(X721,X722)
Father(X722,X723)
Father(X723,X724)
Father(X724,X725)
Father(X725,X726)
Father(X726,X727)
Father(X727,X728)
Father(X728,X729)
Father(X729,X730)
Father(X730,X731)
Father(X731,X732)
Father(X732,X733)
Father(X733,X734)
Father(X734,X735)
Father(X735,X736)
Father(X736,X737)
Father(X737,X738)
Father(X738,X739)
Father(X739,X740)
Father(X740,X741)
Father(X741,X742)
Father(X742,X743)
Father(X743,X744)
Father(X744,X745)
Father(X745,X746)
Father(X746,X747)
Father(X747,X748)
Father(X748,X749)
Father(X749,X750)
Father(X750,X751)
Father(X751,X752)
Father(X752,X753)
Father(X753,X754)
Father(X754,X755)
Father(X755,X756)
Father(X756,X757)
Father(X757,X758)
Father(X758,X759)
Father(X759,X760)
Father(X760,X761)
Father(X761,X762)
Father(X762,X763)
Father(X763,X764)
Father(X764,X765)
Father(X765,X766)
Father(X766,X767)
Father(X767,X768)
Father(X768,X769)
Father(X769,X770)
Father(X770,X771)
Father(X771,X772)
Father(X772,X773)
Father(X773,X774)
Father(X774,X775)
Father(X775,X776)
Father(X776,X777)
Father(X777,X778)
Father(X778,X779)
Father(X779,X780)
Father(X780,X781)
Father(X781,X782)
Father(X782,X783)
Father(X783,X784)
Father(X784,X785)
Father(X785,X786)
Father(X786,X787)
Father(X787,X788)
Father(X788,X789)
Father(X789,X790)
Father(X790,X791)
Father(X791,X792)
Father(X792,X793)
Father(X793,X794)
Father(X794,X795)
Father(X795,X796)
Father(X796,X797)
Father(X797,X798)
Father(X798,X799)
Father(X799,X800)
Father(X800,X801)
Father(X801,X802)
Father(X802,X803)
Father(X803,X804)
Father(X804,X805)
Father(X805,X806)
Father(X806,X807)
Father(X807,X808)
Father(X808,X809)
Father(X809,X810)
Father(X810,X811)
Father(X811,X812)
Father(X812,X813)
Father(X813,X814)
Father(X814,X815)
Father(X815,X816)
Father(X816,X817)
Father(X817,X818)
Father(X818,X819)
Father(X819,X820)
Father(X820,X821)
Father(X821,X822)
Father(X822,X823)
Father(X823,X824)
Father(X824,X825)
Father(X825,X826)
Father(X826,X827)
Father(X827,X828)
Father(X828,X829)
Father(X829,X830)
Father(X830,X831)
Father(X831,X832)
Father(X832,X833)
Father(X833,X834)
Father(X834,X835)
Father(X835,X836)
Father(X836,X837)
Father(X837,X838)
Father(X838,X839)
Father(X839,X840)
Father(X840,X841)
Father(X841,X842)
Father(X842,X843)
Father(X843,X844)
Father(X844,X845)
Father(X845,X846)
Father(X846,X847)
Father(X847,X848)
Father(X848,X849)
Father(X849,X850)
Father(X850,X851)
Father(X851,X852)
Father(X852,X853)
Father(X853,X854)
Father(X854,X855)
Father(X855,X856)
Father(X856,X857)
Father(X857,X858)
Father(X858,X859)
Father(X859,X860)
Father(X860,X861)
Father(X861,X862)
Father(X862,X863)
Father(X863,X864)
Father(X864,X865)
Father(X865,X866)
Father(X866,X867)
Father(X867,X868)
Father(X868,X869)
Father(X869,X870)
Father(X870,X871)
Father(X871,X872)
Father(X872,X873)
Father(X873,X874)
Father(X874,X875)
Father(X875,X876)
Father(X876,X877)
Father(X877,X878)
Father(X878,X879)
Father(X879,X880)
Father(X880,X881)
Father(X881,X882)
Father(X882,X883)
Father(X883,X884)
Father(X884,X885)
Father(X885,X886)
Father(X886,X887)
Father(X887,X888)
Father(X888,X889)
Father(X889,X890)
Father(X890,X891)
Father(X891,X892)
Father(X892,X893)
Father(X893,X894)
Father(X894,X895)
Father(X895,X896)
Father(X896,X897)
Father(X897,X898)
Father(X898,X899)
Father(X899,X900)
Father(X900,X901)
Father(X901,X902)
Father(X902,X903)
Father(X903,X904)
Father(X904,X905)
Father(X905,X906)
Father(X906,X907)
Father(X907,X908)
Father(X908,X909)
Father(X909,X910)
Father(X910,X911)
Father(X911,X912)
Father(X912,X913)
Father(X913,X914)
Father(X914,X915)
Father(X915,X916)
Father(X916,X917)
Father(X917,X918)
Father(X918,X919)
Father(X919,X920)
Father(X920,X921)
Father(X921,X922)
Father(X922,X923)
Father(X923,X924)
Father(X924,X925)
Father(X925,X926)
Father(X926,X927)
Father(X927,X928)
Father(X928,X929)
Father(X929,X930)
Father(X930,X931)
Father(X931,X932)
Father(X932,X933)
Father(X933,X934)
Father(X934,X935)
Father(X935,X936)
Father(X936,X937)
Father(X937,X938)
Father(X938,X939)
Father(X939,X940)
Father(X940,X941)
Father(X941,X942)
Father(X942,X943)
Father(X943,X944)
Father(X944,X945)
Father(X945,X946)
Father(X946,X947)
Father(X947,X948)
Father(X948,X949)
Father(X949,X950)
Father(X950,X951)
Father(X951,X952)
Father(X952,X953)
Father(X953,X954)
Father(X954,X955)
Father(X955,X956)
Father(X956,X957)
Father(X957,X958)
Father(X958,X959)
Father(X959,X960)
Father(X960,X961)
Father(X961,X962)
Father(X962,X963)
Father(X963,X964)
Father(X964,X965)
Father(X965,X966)
Father(X966,X967)
Father(X967,X968)
Father(X968,X969)
Father(X969,X970)
Father(X970,X971)
Father(X971,X972)
Father(X972,X973)
Father(X973,X974)
Father(X974,X975)
Father(X975,X976)
Father(X976,X977)
Father(X977,X978)
Father(X978,X979)
Father(X979,X980)
Father(X980,X981)
Father(X981,X982)
Father(X982,X983)
Father(X983,X984)
Father(X984,X985)
Father(X985,X986)
Father(X986,X987)
Father(X987,X988)
Father(X988,X989)
Father(X989,X990)
Father(X990,X991)
Father(X991,X992)
Father(X992,X993)
Father(X993,X994)
Father(X994,X995)
Father(X995,X996)
Father(X996,X997)
Father(X997,X998)
